timestamp_iso,iteration,phase,loop_index,xt_db,best_xt_db,xt_plus_db,xt_minus_db,learning_rate_ak,perturbation_ck,gradient_norm,optimizer_algorithm,xt_source,"Z(0,0)","Z(1,-1)","Z(1,1)","Z(2,-2)","Z(2,0)","Z(2,2)","Z(3,-3)","Z(3,-1)","Z(3,1)","Z(3,3)"
2026-04-20T13:48:12.613300,0,baseline,89,4.8553924560546875,4.8553924560546875,,,0.0,0.0,0.0,aspgd,diag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20T13:48:28.031262,1,update,92,5.194364070892334,4.8553924560546875,4.514275550842285,5.880152702331543,0.025003453616964315,0.2,10.798207006722253,aspgd,diag,-0.025003453543741175,-0.025003453543741175,0.025003453543741175,0.025003453543741175,0.025003453543741175,0.025003453543741175,-0.025003453543741175,0.025003453543741175,0.025003453543741175,-0.025003453543741175
2026-04-20T13:48:43.422539,2,update,95,4.404819011688232,4.404819011688232,5.2237935066223145,5.981712341308594,0.023609218065474107,0.1864772972873665,6.426384964856651,aspgd,diag,-0.029612736501737742,-0.04760849265735416,0.04760849265735416,0.04760849265735416,0.029612736501737742,0.029612736501737742,-0.029612736501737742,0.029612736501737742,0.029612736501737742,-0.04760849265735416
2026-04-20T13:48:58.854928,3,update,98,5.102686405181885,4.404819011688232,5.663331985473633,4.414387226104736,0.022404377924347463,0.17899493787135265,11.032463147575793,aspgd,diag,-0.04159622320060169,-0.06949667956294159,0.06949667956294159,0.05060352084375582,0.022703064481415916,0.04159622320060169,-0.022703064481415916,0.04159622320060169,0.04159622320060169,-0.06949667956294159
2026-04-20T13:49:14.322477,4,update,101,4.675961494445801,4.404819011688232,4.885129928588867,4.469395637512207,0.02135040422597305,0.17386891201800433,3.780627732637809,aspgd,diag,-0.047993124988307316,-0.08344839385013472,0.08344839385013472,0.055631484939638404,0.014689204846012997,0.047993124988307316,-0.014689204846012997,0.053480136220105313,0.053480136220105313,-0.08893540508193272
2026-04-20T13:49:29.745226,5,update,104,4.538276672363281,4.404819011688232,4.24318265914917,5.171555995941162,0.02041883325134331,0.16999416915812673,8.634926355922438,aspgd,diag,-0.057631206605167795,-0.08849085755236617,0.08849085755236617,0.05423589316833852,0.013930616960836134,0.057631206605167795,-0.013930616960836134,0.0670768318654718,0.05703078101389325,-0.1079825336642487
2026-04-20T13:49:45.217944,6,update,107,4.6854753494262695,4.404819011688232,5.700676441192627,4.665204048156738,0.019588133807740014,0.1668924612118496,9.810063295974663,aspgd,diag,-0.06005598813131001,-0.09686159054734443,0.08753619649973858,0.04854693104980298,0.008710083265985116,0.06005598813131001,-0.018035477313590967,0.08173802159430515,0.06430448713834785,-0.11732637037108515
2026-04-20T13:50:00.709832,7,update,110,4.9351091384887695,4.404819011688232,5.491805553436279,4.047297954559326,0.018841686369479766,0.16431419883627008,13.899998120137344,aspgd,diag,-0.056596128155541915,-0.10791941017163856,0.09203073768633578,0.04970943758512274,-0.00013060375936202635,0.06692900496145057,-0.01575806872594075,0.09722310926044424,0.07459021147442942,-0.11873619048013281
2026-04-20T13:50:16.094490,8,update,113,4.56564998626709,4.404819011688232,5.267271518707275,3.7691810131073,0.01816643667567295,0.16211302397706184,14.611343439745687,aspgd,diag,-0.04959907675976017,-0.12051606466826759,0.09089598241669954,0.04611901363224422,-0.011093258715277308,0.07644151110949991,-0.018526823536290746,0.11308260602028619,0.07772348717909797,-0.12422238763009408
2026-04-20T13:50:31.640914,9,update,116,4.62669563293457,4.404819011688232,4.717926025390625,4.899535655975342,0.017551973394728856,0.16019593891784695,1.7924926235614482,aspgd,diag,-0.044115444490833294,-0.1308043961505907,0.08940217639488181,0.042518138738179,-0.02101982345973682,0.08408351125770115,-0.020382396295972063,0.12617059586645352,0.08093210930291819,-0.1294499170967705
2026-04-20T13:50:47.122463,10,update,119,4.844320774078369,4.404819011688232,5.027956962585449,3.8898510932922363,0.01698988081295251,0.15850026609609436,11.353314584312628,aspgd,diag,-0.036746184510197226,-0.14204576354336912,0.08524831764925275,0.036666193049796895,-0.03196964301467296,0.08729219930546885,-0.018927802130684436,0.13966820811882322,0.08056793770919742,-0.13071278306346684
2026-04-20T13:51:02.646289,11,update,122,4.528068542480469,4.404819011688232,5.202642440795898,3.822253942489624,0.016473274777594173,0.15698181082132542,13.903431511296832,aspgd,diag,-0.03408146955074885,-0.15416149051704528,0.07876144498058273,0.028830710527672287,-0.043853824549203335,0.08665261448885511,-0.014584668229728856,0.15357583041472467,0.07709081048164584,-0.1285278387216524
2026-04-20T13:51:18.180274,12,update,125,4.63752555847168,4.404819011688232,4.783953666687012,3.8400158882141113,0.01599646369067491,0.15560827552211182,9.591370829855562,aspgd,diag,-0.029781799435244644,-0.16641615583187422,0.07535814788598445,0.0242922773340147,-0.055913596147459124,0.08405751321105898,-0.01298577383614313,0.1673387488842989,0.07622084108774703,-0.12463199551424117
2026-04-20T13:51:33.707337,13,update,128,4.260385513305664,4.260385513305664,4.859255790710449,3.9140031337738037,0.015554696660497355,0.1543553607451868,9.682693706958826,aspgd,diag,-0.024188582822062616,-0.17483776828893238,0.0744300656383593,0.018496924927300748,-0.06807648125057655,0.07990737723373041,-0.013585291143027053,0.1809435107926492,0.07743746315964123,-0.1193806570220326
2026-04-20T13:51:49.149355,14,update,131,4.255734443664551,4.255734443664551,4.768516540527344,4.496488094329834,0.015143973559988115,0.15320433852463294,2.807457956559073,aspgd,diag,-0.01871944756684964,-0.18279288538087318,0.0741673898548376,0.012850125038489573,-0.07821384126489395,0.07681271912130433,-0.013559179034063076,0.1934542898584457,0.07795374727873539,-0.11531811124406707
2026-04-20T13:52:04.656333,15,update,134,3.982388734817505,3.982388734817505,4.705794811248779,4.8432793617248535,0.0147608998109938,0.15214047873475553,1.4288252745239398,aspgd,diag,-0.014164087774415784,-0.19009703861996344,0.07421162133615661,0.007585230094272719,-0.0874458738157407,0.07380248669926162,-0.013812400178914244,0.20423051502016568,0.07813356338553122,-0.1114528087528931
2026-04-20T13:52:20.161341,16,update,137,4.03508996963501,3.982388734817505,4.575700283050537,5.177358627319336,0.014402573982851684,0.15115199283162264,6.293700484831025,aspgd,diag,-0.009007289633206851,-0.1952925444968255,0.0754306041878969,0.004169816012393016,-0.09668499288019745,0.07235519321606539,-0.01285306711286936,0.21245683202899643,0.077110154225604,-0.10925911486616677
2026-04-20T13:52:35.768533,17,update,140,4.562613010406494,3.982388734817505,4.295792102813721,4.603295803070068,0.014066499804992276,0.15022930379433372,3.23642610722276,aspgd,diag,-0.003848675030980047,-0.20048540202663576,0.07591234552862122,0.0005517226324070379,-0.10426177449923409,0.0704782042948908,-0.01140775400393616,0.22033090674601347,0.07680142780432603,-0.10672182033591814
2026-04-20T13:52:51.115997,18,update,143,4.185615062713623,3.982388734817505,3.9890503883361816,5.018713474273682,0.013750516577140909,0.14936452862906074,10.899778562038989,aspgd,diag,0.002447646630908026,-0.20681089390046078,0.07822462161181365,-0.004432289197423785,-0.10881423923186156,0.0707811702373515,-0.0082746487837884,0.22894042277079066,0.07463653637030564,-0.10646229773200883
2026-04-20T13:53:06.713872,19,update,146,4.549513339996338,3.982388734817505,5.2331976890563965,3.8605926036834717,0.013452743606548755,0.14855110339541108,14.60964711300285,aspgd,diag,0.005324485806856669,-0.21441690813206665,0.08249752109671146,-0.006219209594599136,-0.11494769299850732,0.07338526804046205,-0.008024970448182215,0.23844339818677776,0.07519099312657261,-0.1038942811266026
2026-04-20T13:53:22.210499,20,update,149,4.296848297119141,3.982388734817505,3.8268046379089355,5.29111909866333,0.013171535455752777,0.14778350620464042,15.66673110425813,aspgd,diag,0.010045655476069839,-0.22306905018974252,0.0883791203255247,-0.00537463782937943,-0.11771603521084927,0.0732199483184426,-0.010147324496208972,0.24867232730562783,0.07332197619170339,-0.10408959216639928
2026-04-20T13:53:37.683162,21,update,152,4.078830718994141,3.982388734817505,3.993257999420166,4.644652366638184,0.012905445605172372,0.14705704906039624,7.003710017896045,aspgd,diag,0.015229606135891811,-0.22967842145573042,0.09458640160442383,-0.005650411529555,-0.11913674811456067,0.0740947238349086,-0.013039496584471049,0.2587133232214045,0.07065321070550346,-0.10528239172637101
2026-04-20T13:53:53.227033,22,update,155,4.334889888763428,3.982388734817505,4.80422306060791,4.087125778198242,0.012653196726335829,0.14636771902618714,7.746450964115366,aspgd,diag,0.018689616415137847,-0.23660206638978362,0.1011560187406339,-0.0047889237953117,-0.12149193983480226,0.07596923457036343,-0.01448166671129784,0.2686584075267414,0.06940774318230111,-0.10522831690001784
2026-04-20T13:54:08.594761,23,update,158,4.192408084869385,3.982388734817505,4.522763729095459,4.298574447631836,0.012413656192962952,0.14571205535799991,2.432704537314363,aspgd,diag,0.022127325255994056,-0.24313624353163654,0.10737369718590187,-0.003674278294539273,-0.12325298618895915,0.07798951646875028,-0.016115438736886093,0.27789373307741355,0.06863878350628505,-0.1048354936248163
2026-04-20T13:54:24.179920,24,update,161,4.181331157684326,3.982388734817505,4.001486778259277,4.992807388305664,0.012185815775381723,0.1450870532745564,10.803276200261513,aspgd,diag,0.026595307397330802,-0.2502971773847936,0.11425937690308634,-0.004183146624455661,-0.1233062829178885,0.07826826643496097,-0.01901456427693685,0.2874038149031395,0.06649177220439204,-0.10301560246948684
2026-04-20T13:54:39.657739,25,update,164,3.834197521209717,3.834197521209717,4.076948642730713,4.241010665893555,0.011968774700991022,0.14449008773880906,1.795312325049316,aspgd,diag,0.03035430800338478,-0.2569583981562977,0.12018478269912082,-0.004394538631953974,-0.12359862525387279,0.07827345828640088,-0.021856943626565296,0.29568084581777326,0.06432333330342863,-0.10114028326651293
2026-04-20T13:54:55.123356,26,update,167,3.7377870082855225,3.7377870082855225,4.208016395568848,4.345900535583496,0.011761725442058708,0.14391885246789451,1.5148395369436432,aspgd,diag,0.03393121800793862,-0.2631381626874334,0.12529332714113736,-0.004789777855904084,-0.12406646473449409,0.07848376701611494,-0.024611782371725774,0.3028984439276119,0.062172917671420344,-0.09966405671246804
2026-04-20T13:55:10.586029,27,update,170,4.165743827819824,3.7377870082855225,4.296973705291748,3.9011549949645996,0.011563941727802616,0.1433713106692151,4.365199213502639,aspgd,diag,0.03771569192897995,-0.26807167298425283,0.1292696588627532,-0.005731299954552611,-0.12507285810557842,0.07808332656202585,-0.027661702297024762,0.3099360202584881,0.06083979395943075,-0.09893334827220235
2026-04-20T13:55:26.127059,28,update,173,4.026549339294434,3.7377870082855225,3.5390052795410156,5.229902267456055,0.011374768381642163,0.14284565490386156,18.716305281138734,aspgd,diag,0.04316480133685405,-0.27447126282355044,0.13024027127650697,-0.004191524341841255,-0.1282239452268523,0.07543348239711874,-0.027865988855130308,0.31807608901903794,0.062055637555505555,-0.09601030713581211
2026-04-20T13:55:41.580529,29,update,176,3.701435089111328,3.701435089111328,3.558262586593628,5.073446750640869,0.011193612664790027,0.14234027412550782,16.83091121765956,aspgd,diag,0.04581992478196404,-0.2779320433622642,0.133026705862014,-0.0048500751179043145,-0.13285861872129304,0.07515110417149422,-0.030002861554665368,0.32693958018784314,0.06112251181880103,-0.09156893258716259
2026-04-20T13:55:57.127900,30,update,179,4.06348180770874,3.701435089111328,3.4732046127319336,4.807069778442383,0.01101993686983273,0.14185372641231636,14.867610890046794,aspgd,diag,0.04977160200383314,-0.2792543476358426,0.1337674954342255,-0.0070800301971889554,-0.13851733881975017,0.0765696596348667,-0.033507631034131485,0.3362449739785638,0.06197990243381716,-0.08940102402080474
2026-04-20T13:56:12.695780,31,update,182,4.134034633636475,3.701435089111328,4.227880477905273,3.8302383422851562,0.01085325195692176,0.14138471625422444,4.446926356424929,aspgd,diag,0.05281807104321521,-0.28093442409107905,0.13492641805261726,-0.009573543868710791,-0.14408371383283422,0.07734594337965166,-0.036153581076966396,0.3450795002214901,0.062253269892675336,-0.08795316955931341
2026-04-20T13:56:28.181743,32,update,185,3.8909080028533936,3.701435089111328,3.379629611968994,4.978347301483154,0.010693112063842906,0.14093207551420195,17.936261904967036,aspgd,diag,0.05729784852066307,-0.2842515844042756,0.13402486588205234,-0.013582830354624782,-0.1507075939432433,0.07611881675316036,-0.04029257050755465,0.35448413950702257,0.06437350917214227,-0.08860887941195009
2026-04-20T13:56:43.660951,33,update,188,4.18290901184082,3.701435089111328,4.129015922546387,3.519038200378418,0.01053910975192272,0.14049474737447787,6.864736796425485,aspgd,diag,0.06201527009496854,-0.2864970404984643,0.13393661360861803,-0.017880090667401437,-0.15733975752817744,0.0757398176289147,-0.0447056590802533,0.36359959672361297,0.0655500822047389,-0.08991130451167054
2026-04-20T13:56:59.169701,34,update,191,3.440093517303467,3.440093517303467,3.5396406650543213,5.3995866775512695,0.010390871874253296,0.14007177272465032,20.995185575327845,aspgd,diag,0.0639341681723641,-0.2904347368387325,0.1359113882879012,-0.023543594311034196,-0.16496718788725107,0.07747004020424236,-0.0463685775119937,0.3733157674445036,0.06449071256144799,-0.08895779117504775
2026-04-20T13:57:14.720485,35,update,194,3.7865982055664062,3.440093517303467,3.477184295654297,4.706501007080078,0.010248055972421672,0.13966227856027486,13.9172896715117,aspgd,diag,0.06693735902856662,-0.2925622837730818,0.13896353049235619,-0.027183054845525696,-0.17297140497430438,0.0803079396880918,-0.04914751441651164,0.38314984986706707,0.06488475727312337,-0.08680033687129728
2026-04-20T13:57:30.219086,36,update,197,4.243086338043213,3.440093517303467,4.5175042152404785,3.538464307785034,0.01011034712385139,0.13926546804674364,11.115447609455188,aspgd,diag,0.07063561168795869,-0.2954851554501746,0.14270512947500316,-0.03144472306213965,-0.18109805659200168,0.08385982716014895,-0.05056932459430378,0.39289684366486,0.06419475007285355,-0.08592884832246715
2026-04-20T13:57:45.748048,37,update,200,3.472136974334717,3.440093517303467,3.4776535034179688,4.648407936096191,0.009977455174794115,0.1388806119703645,13.328896436571956,aspgd,diag,0.07267140019365488,-0.2992744108032483,0.14721467374289843,-0.0364118068570849,-0.1894654235836646,0.08820246958274736,-0.050602375102132016,0.4026897335413994,0.06480551536177094,-0.08394433127153123
2026-04-20T13:58:01.270643,38,update,203,4.0726799964904785,3.440093517303467,4.328256607055664,3.3825559616088867,0.009849112304562757,0.13850704135116193,10.79572560040852,aspgd,diag,0.07350545446454516,-0.3016645863816902,0.15218930174577602,-0.03984725109160534,-0.19786369210201019,0.09108375077376403,-0.05160432045430518,0.41235308815981947,0.0643749269650786,-0.08121054897402566
2026-04-20T13:58:16.762886,39,update,206,3.899088144302368,3.440093517303467,3.746277332305908,4.451259613037109,0.009725070875251395,0.1381441410334747,8.068926052501281,aspgd,diag,0.0749725205183319,-0.3030786418179268,0.15591278354673876,-0.04219534229098692,-0.2060900219930194,0.09438018686323608,-0.053221411358946626,0.4202663429125095,0.0632683917217375,-0.07804591559456746
2026-04-20T13:58:32.420033,40,update,209,3.8343193531036377,3.440093517303467,3.7630321979522705,3.947195053100586,0.00960510152831587,0.13779134410346053,2.1132462509077055,aspgd,diag,0.07648294814664344,-0.3045413270938873,0.15945538134454967,-0.04412091654820608,-0.21330964781554662,0.09753817931649109,-0.05486695417025229,0.4275823284914205,0.06246098594955371,-0.07538494819777884
2026-04-20T13:58:47.930070,41,update,212,3.632596731185913,3.440093517303467,3.3990139961242676,4.525106430053711,0.009488991495285693,0.13744812700905293,12.954039551463554,aspgd,diag,0.07895258237536318,-0.3069688340071761,0.1637181797037315,-0.044683171787114735,-0.22081701440015883,0.10146160623985878,-0.05518211280684381,0.43517472184266914,0.06288539002159858,-0.07417379031308993
2026-04-20T13:59:03.485993,42,update,215,3.437708616256714,3.437708616256714,3.4737708568573,5.039190292358398,0.009376543094776275,0.13711400527919174,18.051733298865898,aspgd,diag,0.08261916925871854,-0.3105989037040207,0.16893913358927276,-0.046696386894813965,-0.22885045471696178,0.10638838306020411,-0.05698113736808424,0.443281865842318,0.06172744000050937,-0.07464975916779104
2026-04-20T13:59:19.084854,43,update,218,3.5062427520751953,3.437708616256714,3.8787808418273926,4.6696367263793945,0.009267572392055256,0.1367885297563752,9.14150441044177,aspgd,diag,0.0851260812026899,-0.31460617113421196,0.17436668232978508,-0.04926018762215783,-0.23678888510570084,0.11155330162902229,-0.05782076021533468,0.44975313944409906,0.05992718763609034,-0.07430820785675728
2026-04-20T13:59:34.637298,44,update,221,3.7612905502319336,3.437708616256714,3.6408443450927734,3.521157741546631,0.009161908000835934,0.13647128327060012,1.3866736779521889,aspgd,diag,0.08750192252651459,-0.318334241107037,0.17937481232511499,-0.05145443852512738,-0.24406000285970908,0.11609186766062134,-0.05846105757406175,0.4554690869146722,0.05842110162519289,-0.07411680851367362
2026-04-20T13:59:50.119798,45,update,224,3.5056357383728027,3.437708616256714,3.8035905361175537,4.793584823608398,0.009059390009843262,0.13616187769422708,11.496010748533257,aspgd,diag,0.08865925529918155,-0.3225970517231987,0.18286956144394975,-0.05435525043470568,-0.2514689645377357,0.12107438153607623,-0.05807726422426876,0.4614970904626405,0.05803609306894249,-0.07299448618455155
2026-04-20T14:00:05.780139,46,update,227,3.947441816329956,3.437708616256714,3.729444980621338,4.023321151733398,0.008959869019119467,0.13585995132673478,3.4201324293446005,aspgd,diag,0.08998476405204722,-0.32671870411554105,0.18629965834025905,-0.0566836577659962,-0.2578564683868972,0.12527713413869593,-0.05744824324113047,0.46720810630803705,0.057972891898860825,-0.07170050051250203
2026-04-20T14:00:21.399550,47,update,230,3.963567018508911,3.437708616256714,3.956730604171753,3.5015199184417725,0.008863205273084462,0.13556516656611745,5.3092642402787735,aspgd,diag,0.09161545287728369,-0.33086238501529025,0.18894299862324165,-0.05833687110901094,-0.26403654923142017,0.1294937026336284,-0.057322327839519426,0.47278020372568486,0.05835549855088781,-0.07097695809006399
2026-04-20T14:00:36.895200,48,update,233,33.71943664550781,3.437708616256714,3.588435411453247,3.6962649822235107,0.008769267879104339,0.1352772078301372,1.2603270285579646,aspgd,diag,0.0931900368753632,-0.33449351571302716,0.1912215409746458,-0.05972279338106484,-0.26950353693588774,0.13319054301804267,-0.057313296503986755,0.4779080497435052,0.05859594240037778,-0.0704291535354431
