timestamp_iso,iteration,phase,loop_index,xt_db,best_xt_db,xt_plus_db,xt_minus_db,learning_rate_ak,perturbation_ck,gradient_norm,optimizer_algorithm,xt_source,"Z(0,0)","Z(1,-1)","Z(1,1)","Z(2,-2)","Z(2,0)","Z(2,2)","Z(3,-3)","Z(3,-1)","Z(3,1)","Z(3,3)","Z(4,-4)","Z(4,-2)","Z(4,0)","Z(4,2)","Z(4,4)","Z(5,-5)","Z(5,-3)","Z(5,-1)","Z(5,1)","Z(5,3)","Z(5,5)"
2026-04-20T20:56:53.649286,0,baseline,256,-3.9040663838386536,-3.9040663838386536,,,0.0,0.0,0.0,aspgd,mode_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-20T20:57:09.061130,1,update,259,-4.191159605979919,-4.191159605979919,-4.423387050628662,-2.6119640469551086,0.020002762893571457,0.05,83.00983029918329,aspgd,mode_group,-0.020002762882528887,-0.020002762882528887,0.020002762882528887,0.020002762882528887,-0.020002762882528887,-0.020002762882528887,0.020002762882528887,0.020002762882528887,-0.020002762882528887,-0.020002762882528887,-0.020002762882528887,0.020002762882528887,-0.020002762882528887,-0.020002762882528887,0.020002762882528887,0.020002762882528887,0.020002762882528887,-0.020002762882528887,0.020002762882528887,-0.020002762882528887,0.020002762882528887
2026-04-20T20:57:24.505683,2,update,262,-4.165544509887695,-4.191159605979919,-4.171470999717712,-4.057631194591522,0.01888737445237929,0.046619324321841626,5.595099582399742,aspgd,mode_group,-0.033605931400526576,-0.0317103562643517,0.0317103562643517,0.0317103562643517,-0.033605931400526576,-0.0317103562643517,0.033605931400526576,0.033605931400526576,-0.0317103562643517,-0.0317103562643517,-0.033605931400526576,0.033605931400526576,-0.033605931400526576,-0.033605931400526576,0.033605931400526576,0.033605931400526576,0.0317103562643517,-0.0317103562643517,0.0317103562643517,-0.0317103562643517,0.033605931400526576
2026-04-20T20:57:39.952755,3,update,265,-4.296060800552368,-4.296060800552368,-4.55142617225647,-4.163785874843597,0.017923502339477974,0.04474873446783816,19.848505510098953,aspgd,mode_group,-0.0406587415837647,-0.03740827751396035,0.04274876839425207,0.03740827751396035,-0.0406587415837647,-0.03740827751396035,0.04599923246405642,0.0406587415837647,-0.04274876839425207,-0.04274876839425207,-0.04599923246405642,0.0406587415837647,-0.04599923246405642,-0.0406587415837647,0.0406587415837647,0.04599923246405642,0.03740827751396035,-0.04274876839425207,0.03740827751396035,-0.04274876839425207,0.04599923246405642
2026-04-20T20:57:55.338890,4,update,268,-4.537874460220337,-4.537874460220337,-4.267600774765015,-4.3083456158638,0.01708032338077844,0.043467228004501084,2.147782675430753,aspgd,mode_group,-0.045923853469559316,-0.04161369023108144,0.05163334270757983,0.04161369023108144,-0.04642605737891451,-0.04161369023108144,0.055943505946057695,0.04642605737891451,-0.051131138798224625,-0.051131138798224625,-0.055943505946057695,0.045923853469559316,-0.05544130203670249,-0.04642605737891451,0.04642605737891451,0.05544130203670249,0.04211589414043664,-0.051131138798224625,0.04161369023108144,-0.05163334270757983,0.055943505946057695
2026-04-20T20:58:10.747363,5,update,271,-4.349640607833862,-4.537874460220337,-4.558547139167786,-4.306130409240723,0.01633506660107465,0.042498542289531684,13.60892290944431,aspgd,mode_group,-0.04872078131052267,-0.04356313023966055,0.05732491315824341,0.04356313023966055,-0.049624619679105655,-0.04356313023966055,0.062482564229105524,0.05245224509532508,-0.056421074789660415,-0.05924870020587984,-0.062482564229105524,0.04872078131052267,-0.06440635127674196,-0.05245224509532508,0.05245224509532508,0.06157872586052253,0.04446696860824354,-0.05924870020587984,0.046390755655879974,-0.05732491315824341,0.062482564229105524
2026-04-20T20:58:26.273125,6,update,274,-4.471130073070526,-4.537874460220337,-3.9921480417251587,-4.46470320224762,0.015670507046192016,0.0417231153029624,25.95107984401191,aspgd,mode_group,-0.04856339976977322,-0.04273433217230181,0.06420725029282014,0.04273433217230181,-0.0545318878991355,-0.04748078973812927,0.07003631789029152,0.0595996805047399,-0.05823876216345784,-0.0680530123348897,-0.06528986032446407,0.053309857335600674,-0.0738820799323611,-0.05485322293891244,0.0595996805047399,0.06881428732675669,0.04395636273583665,-0.06330655476906223,0.04780212477790621,-0.06420725029282014,0.07003631789029152
2026-04-20T20:58:41.631347,7,update,277,-4.382206201553345,-4.537874460220337,-4.273039400577545,-4.24336701631546,0.015073349095583815,0.04107854970906752,1.6550723905036735,aspgd,mode_group,-0.048572484816448734,-0.04217821763534379,0.06985924439887314,0.04217821763534379,-0.058521265605519436,-0.0509202513206448,0.0765366497751791,0.06547483479321667,-0.05991046360980242,-0.07560606648280066,-0.0677946160898781,0.0570313803065487,-0.08171719546870455,-0.05701593930311669,0.06547483479321667,0.07476362628100733,0.04366810293431453,-0.0665808946022986,0.04884864862783998,-0.06985924439887314,0.0765366497751791
2026-04-20T20:58:57.018731,8,update,280,-4.4364333152771,-4.537874460220337,-4.718984663486481,-3.9164474606513977,0.01453314934053836,0.04052825599426546,45.371894124068284,aspgd,mode_group,-0.04531733082577648,-0.045019560311122114,0.07087278096176121,0.045019560311122114,-0.058277082994700885,-0.050260073743664854,0.0847159813970277,0.0666571853051901,-0.05791302879283678,-0.07805769764495298,-0.06642736174631647,0.06310862677404404,-0.0843821975662479,-0.05538994246600678,0.07318123841427435,0.08252614836484293,0.04018801653177897,-0.07231986050996655,0.04637828581008342,-0.07087278096176121,0.07819192828794345
2026-04-20T20:59:12.478848,9,update,283,-4.448109865188599,-4.537874460220337,-4.58375483751297,-4.395292401313782,0.014041578715783088,0.04004898472946174,10.782337996488996,aspgd,mode_group,-0.04327170995475225,-0.04671156200382763,0.07100284543210765,0.04671156200382763,-0.05733237351674234,-0.05043196939318703,0.09096951922237279,0.06840359872499571,-0.05547009154244015,-0.08088876478111999,-0.06599503055087923,0.06903793472439418,-0.08739559914358266,-0.05326441459642085,0.07903063936606279,0.08989559523175114,0.03647809112385319,-0.07796009348990895,0.04500330201380753,-0.07100284543210765,0.07887038825362833
2026-04-20T20:59:27.755442,10,update,286,-4.506635367870331,-4.537874460220337,-4.043923616409302,-4.82410728931427,0.01359190465036201,0.03962506652402359,45.113498230824526,aspgd,mode_group,-0.038969383241879214,-0.05073562528866144,0.06841256856987603,0.04535037573544375,-0.053896355525184736,-0.04787460954459621,0.09319781214295149,0.06708522912108233,-0.05085511601265071,-0.08042391070989127,-0.06834745330263568,0.07101109070099325,-0.0924594738533957,-0.054284458507376496,0.08632616596649054,0.09300199854431049,0.03086612083355502,-0.08509102551953705,0.04122870055689184,-0.07379781812309372,0.0767116445768412
2026-04-20T20:59:43.178708,11,update,289,-4.573468565940857,-4.573468565940857,-4.056596159934998,-4.6381476521492,0.013178619822075341,0.039245452705331356,33.9530257632125,aspgd,mode_group,-0.037266201048467874,-0.05594797378499312,0.06439105956229915,0.04608997450861107,-0.049172411400222944,-0.04762071953013056,0.0931783937440142,0.06412010993932783,-0.04515198198188443,-0.07816768372056095,-0.06843113164277245,0.07077976685844062,-0.09479516407801881,-0.053261522004050495,0.0942556469735008,0.09745217931816452,0.028075206699314258,-0.08914352198751123,0.036223544004171056,-0.07798933841841997,0.07678882749677997
2026-04-20T20:59:58.559055,12,update,292,-4.468090832233429,-4.573468565940857,-4.604573547840118,-4.379647970199585,0.012797170952539929,0.038902068880527954,13.247862066602547,aspgd,mode_group,-0.035081331410693,-0.061182648453807026,0.06019133962359932,0.04602811787121696,-0.04436220738352539,-0.0466954250156879,0.09386615680446794,0.060838494965573774,-0.040900046255614476,-0.07550216464773934,-0.06779921668840627,0.07128336358642252,-0.09612046533467987,-0.05307713074085294,0.10044249362244115,0.1020244564959922,0.026354271822027767,-0.09337017302735043,0.03116893918029137,-0.08233681461486113,0.07756054644956861
2026-04-20T21:00:13.955103,13,update,295,-4.336530268192291,-4.573468565940857,-4.893712401390076,-3.96928608417511,0.012443757328397885,0.0385888401862967,54.889620322810046,aspgd,mode_group,-0.030794802591316978,-0.06787728292161024,0.05431389848654651,0.04854064665497072,-0.03800273210280133,-0.04340344828677167,0.09697058028646893,0.05568598336645334,-0.03498137588203508,-0.07083611825013471,-0.06986163123893455,0.07424237056442998,-0.09972828471109048,-0.05549290700386452,0.10276621597384261,0.10819606633654426,0.022434062785675106,-0.099268878781686,0.024616486657328657,-0.08833092310449422,0.07560852020086538
2026-04-20T21:00:29.435956,14,update,298,-4.728088974952698,-4.728088974952698,-4.237958192825317,-4.730327129364014,0.012115178847990493,0.038301084631158236,29.455013392727153,aspgd,mode_group,-0.028427517981978342,-0.07493099828033975,0.0505817325343058,0.0493859746334975,-0.033857017646329125,-0.04188941346230812,0.1009441686406132,0.04995529172722173,-0.028593378491040343,-0.06552277662456671,-0.07032079556011955,0.07809120265699684,-0.1015132884205567,-0.056255228704186984,0.10344956244397685,0.11480106648471088,0.020381052590978412,-0.10563974805316008,0.017684752555299537,-0.09478364064128288,0.07262360071669186
2026-04-20T21:00:44.727292,15,update,301,-4.65130090713501,-4.728088974952698,-4.667235612869263,-3.949790298938751,0.011808719848795043,0.03803511968368888,43.219891056210535,aspgd,mode_group,-0.028234002152379607,-0.07904800425106025,0.04566877492508829,0.04830530502101296,-0.03217459643328647,-0.03883348011674375,0.10605924561622435,0.04336916401286472,-0.021456952954170862,-0.0592860552604943,-0.06891682888352352,0.08310183341574971,-0.10479607751321535,-0.05868182616723506,0.10581004167043803,0.1185424070932485,0.020450647993230216,-0.10918507377626388,0.010093109446851375,-0.09839748991230668,0.07191299961008511
2026-04-20T21:01:00.113331,16,update,304,-4.737397730350494,-4.737397730350494,-4.400727450847626,-4.911690056324005,0.011522059186281347,0.03778799820790566,30.982387635414536,aspgd,mode_group,-0.029296861105737936,-0.08137289918112706,0.04265661224173336,0.048602147350124754,-0.02949195183686993,-0.03742477275875557,0.11170583111011392,0.03891229564211468,-0.016524927639424022,-0.055130883256370444,-0.06647461701492688,0.08619833238637518,-0.10886056641255343,-0.06200703284236955,0.10907815827915059,0.12300283420647114,0.021740691434229336,-0.11347625102126903,0.002308122623455963,-0.10274783409981003,0.0725293791300212
2026-04-20T21:01:15.524370,17,update,307,-4.866393208503723,-4.866393208503723,-4.69804048538208,-4.555190205574036,0.011253199843993821,0.03755732594858343,8.71497375987542,aspgd,mode_group,-0.03057970797217055,-0.0837744027336963,0.03964592108946748,0.04920600436664825,-0.02677334238271695,-0.036516846754648655,0.11637017198610317,0.034621031109588155,-0.012493966109822178,-0.05110703951369313,-0.06465060244260036,0.08860230082281137,-0.11280402951366393,-0.06461372561277223,0.11231572455639585,0.1266157755757595,0.022543434870966668,-0.11693917091715769,-0.004933154450722846,-0.10626319901077386,0.07341647087327346
2026-04-20T21:01:30.959198,18,update,310,-4.926277995109558,-4.926277995109558,-4.843570590019226,-5.006129741668701,0.011000413261712728,0.037341132157265186,9.974786171508566,aspgd,mode_group,-0.03133361102220283,-0.08552105422067278,0.036589537024742456,0.050126450877114204,-0.02474527623828174,-0.03532655515597324,0.1208940824142107,0.030428206135510835,-0.008532146235421888,-0.04715153629741628,-0.06341644177572384,0.09112025067866518,-0.11668819917670237,-0.06654247164028686,0.11480433733801755,0.1294375138287719,0.023640382523600373,-0.12039688399009099,-0.010974848070183483,-0.10976745425110009,0.07458827317120571
