timestamp_iso,iteration,phase,loop_index,xt_db,best_xt_db,xt_plus_db,xt_minus_db,learning_rate_ak,perturbation_ck,gradient_norm,optimizer_algorithm,xt_source,"Z(1,-1)","Z(1,1)",hologram_shift_x_px,hologram_shift_y_px
2026-04-21T12:01:19.323108,0,baseline,155,-6.430678367614746,-6.430678367614746,,,0.0,0.0,0.0,stochastic_hill_climb,mode_group,-0.446,2.1131,-1.0,1.0
2026-04-21T12:01:23.469363,1,reject,156,-2.962369918823242,-6.430678367614746,,,0.1,0.5335,0.0,stochastic_hill_climb,mode_group,-1.1090640317800158,1.6981936676628675,-0.5809096723589859,1.846079458549804
2026-04-21T12:01:27.521285,2,reject,157,-5.736434459686279,-6.430678367614746,,,0.1,0.5174949999999999,0.0,stochastic_hill_climb,mode_group,-0.4584290965813978,1.6578900993588974,-1.112000812489481,1.0128921457647189
2026-04-21T12:01:31.628381,3,reject,158,-6.23934805393219,-6.430678367614746,,,0.1,0.5019701499999999,0.0,stochastic_hill_climb,mode_group,-0.48930995329006294,2.0091699383968145,-0.1136186288315848,1.0782004484706573
2026-04-21T12:01:35.752581,4,accept,159,-9.757440686225891,-9.757440686225891,,,0.1,0.5170292544999999,0.0,stochastic_hill_climb,mode_group,0.505982444934657,2.0631119902664308,-1.0344006192933044,0.5082843691945176
2026-04-21T12:01:39.820972,5,reject,160,-8.865007758140564,-9.757440686225891,,,0.1,0.5015183768649999,0.0,stochastic_hill_climb,mode_group,0.16511641770407848,2.203869495536872,-1.3219308204328306,1.2895538917119347
2026-04-21T12:01:43.910577,6,reject,161,-9.182036519050598,-9.757440686225891,,,0.1,0.48647282555904986,0.0,stochastic_hill_climb,mode_group,0.36458016155168776,2.2419045094016976,-1.1778620611377677,0.23790142214521376
2026-04-21T12:01:48.058654,7,reject,162,-9.635794162750244,-9.757440686225891,,,0.1,0.47187864079227837,0.0,stochastic_hill_climb,mode_group,1.0593949414326618,1.8471474494945954,-0.9216148420618961,-0.1588711418118568
2026-04-21T12:01:52.105770,8,reject,163,-9.631870985031128,-9.757440686225891,,,0.1,0.45772228156851,0.0,stochastic_hill_climb,mode_group,0.8632445300927083,1.94269031943821,-0.9482990441209673,0.7220531281850328
2026-04-21T12:01:56.169832,9,reject,164,-8.726062774658203,-9.757440686225891,,,0.1,0.4439906131214547,0.0,stochastic_hill_climb,mode_group,0.7170098083422765,2.342463496956049,-1.560770024429833,0.8151093334511199
