timestamp_iso,iteration,phase,loop_index,xt_db,best_xt_db,xt_plus_db,xt_minus_db,learning_rate_ak,perturbation_ck,gradient_norm,optimizer_algorithm,xt_source,"Z(0,0)","Z(1,-1)","Z(1,1)","Z(2,-2)","Z(2,0)","Z(2,2)",hologram_shift_x_px,hologram_shift_y_px
2026-04-22T11:36:25.411486,0,baseline,103,-5.257221460342407,-5.257221460342407,,,0.0,0.0,0.0,stochastic_hill_climb,mode_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-22T11:36:29.501472,1,reject,104,-4.89168107509613,-5.257221460342407,,,0.1,0.42437499999999995,0.0,stochastic_hill_climb,mode_group,-0.11267868423812662,0.13425700201884627,0.12692981254449243,0.16738495653952368,0.03611532138070502,-0.27539549249248235,0.12120463348372908,-0.7223666951538085
2026-04-22T11:36:33.758791,2,reject,105,-4.765100479125977,-5.257221460342407,,,0.1,0.41164375,0.0,stochastic_hill_climb,mode_group,0.07219886742232023,0.12256179082405837,0.20992410056980343,-0.24680886399865173,-0.24863683286091962,0.008379811460742608,-0.1467176731069486,-1.616743865359519
2026-04-22T11:36:37.881457,3,reject,106,-4.998434782028198,-5.257221460342407,,,0.1,0.3992944375,0.0,stochastic_hill_climb,mode_group,0.11618407245450887,0.05663832390563232,0.37321475348929034,-0.22516921636520296,-0.3344328649413903,-0.24639139674134222,0.7570713242640725,-0.5342080306679887
2026-04-22T11:36:41.966753,4,accept,107,-6.198498010635376,-6.198498010635376,,,0.1,0.411273270625,0.0,stochastic_hill_climb,mode_group,0.10817719798485702,-0.2731303243486582,-0.03982089755807672,0.40014247959292526,-0.23727560387440685,-0.33774914450401894,0.8035197237453158,-1.6022321632002436
2026-04-22T11:36:46.135415,5,accept,108,-6.586635112762451,-6.586635112762451,,,0.1,0.42361146874375,0.0,stochastic_hill_climb,mode_group,0.15030121660700235,-0.37701850930583947,0.06485526102150714,0.3459153583487479,-0.5973531130721821,-0.5024324585780923,-0.8289063967814991,-1.2946620213476283
2026-04-22T11:36:50.332031,6,accept,109,-8.197060227394104,-8.197060227394104,,,0.1,0.4363198128060625,0.0,stochastic_hill_climb,mode_group,0.007617517122586792,-0.9445712673956498,-0.030307133379032986,0.5135324274832274,-0.7545940378525039,-0.6566668440938858,-0.20098212864886278,-0.3629683381480352
2026-04-22T11:36:54.595605,7,accept,110,-10.100070238113403,-10.100070238113403,,,0.1,0.44940940719024436,0.0,stochastic_hill_climb,mode_group,0.19063538064861288,-1.16403585454801,-0.4246166860019991,0.5017128913455415,-0.716596521996665,-0.5231894293805496,0.3138848508592651,0.9321236506639977
2026-04-22T11:36:58.724940,8,accept,111,-10.133602619171143,-10.133602619171143,,,0.1,0.4628916894059517,0.0,stochastic_hill_climb,mode_group,-0.11957768472264943,-1.1671342038688426,-0.24730984388294808,0.9888227635839724,-0.656347923346877,-0.3905640295148401,2.0603433907436957,2.391860552767353
2026-04-22T11:37:02.878859,9,accept,112,-11.297316551208496,-11.297316551208496,,,0.1,0.47677844008813036,0.0,stochastic_hill_climb,mode_group,0.26626259417945497,-1.1151182670807833,-0.654575284563005,0.6257350265245262,-0.855108560539267,-0.4619255235883554,2.5416752914217913,0.5705607365682992
2026-04-22T11:37:07.042774,10,accept,113,-11.762725114822388,-11.762725114822388,,,0.1,0.4910817932907742,0.0,stochastic_hill_climb,mode_group,-0.062135052464381335,-1.2522173149297808,-0.7826180273491188,0.633513055962735,-0.6461842891726832,-0.3841390514062587,2.5330516942298043,0.3032294470139497
2026-04-22T11:37:11.313882,11,reject,114,-11.534501314163208,-11.762725114822388,,,0.1,0.47634933949205105,0.0,stochastic_hill_climb,mode_group,0.2402838697142583,-1.2341936726766436,-0.6641036902528054,0.3835837232202818,-0.9175880364136495,-0.28851338083634204,1.5987475749766342,0.39135083410294513
2026-04-22T11:37:15.395578,12,reject,115,-11.223011016845703,-11.762725114822388,,,0.1,0.4620588593072895,0.0,stochastic_hill_climb,mode_group,0.2891040837477352,-1.4333064532887454,-0.5518043005835805,0.5619603865810067,-0.21220969664748457,-0.38487551964691485,3.840525540352793,-0.37447539968112686
2026-04-22T11:37:19.497462,13,accept,116,-12.895374298095703,-12.895374298095703,,,0.1,0.4759206250865082,0.0,stochastic_hill_climb,mode_group,-0.0321595981514651,-1.6884696226107165,-1.076934177649477,0.9694681781656616,-0.7675455265483396,-0.5558682975308773,3.6197354703746143,1.3477955868696907
2026-04-22T11:37:23.711447,14,accept,117,-13.798342943191528,-13.798342943191528,,,0.1,0.49019824383910343,0.0,stochastic_hill_climb,mode_group,0.06265461860885142,-1.5650619635601086,-1.482977310693648,1.1441686474398738,-0.8289807503070542,-0.93513806018882,5.618057841840245,1.784482155375522
2026-04-22T11:37:27.949924,15,accept,118,-14.591073989868164,-14.591073989868164,,,0.1,0.5049041911542766,0.0,stochastic_hill_climb,mode_group,-0.14704905030166066,-1.2609523607274358,-1.2608739845435544,0.8152238899017481,-0.928078335080067,-1.184025791864123,5.484458502385883,2.733710110521515
2026-04-22T11:37:32.048533,16,accept,119,-14.710936546325684,-14.710936546325684,,,0.1,0.5200513168889049,0.0,stochastic_hill_climb,mode_group,0.009300479964120478,-1.3131730562711776,-1.1920845106208333,0.34074211906960705,-1.2406350564004482,-0.8020625985904711,4.056120748677595,2.5896023355793694
