timestamp_iso,iteration,phase,loop_index,xt_db,best_xt_db,xt_plus_db,xt_minus_db,learning_rate_ak,perturbation_ck,gradient_norm,optimizer_algorithm,xt_source,"Z(0,0)","Z(1,-1)","Z(1,1)","Z(2,-2)","Z(2,0)","Z(2,2)",hologram_shift_x_px,hologram_shift_y_px
2026-04-22T11:54:53.662507,0,baseline,369,-4.828634262084961,-4.828634262084961,,,0.0,0.0,0.0,aspgd,mode_group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-22T11:55:06.101058,1,update,372,-4.764544367790222,-4.828634262084961,-6.924151182174683,-3.0038031935691833,0.05000690723392863,0.625,9.994965446986832,aspgd,mode_group,-0.05000690710637131,-0.05000690710637131,-0.05000690710637131,-0.05000690710637131,-0.05000690710637131,-0.05000690710637131,0.05000690697881399,0.05000690697881399
2026-04-22T11:55:18.596513,2,update,375,-5.261883735656738,-5.261883735656738,-4.121665060520172,-5.174061059951782,0.04721843613094821,0.5827415540230203,2.8776627585176353,aspgd,mode_group,-0.09021285830069706,-0.09021285830069706,-0.0707236162493145,-0.0707236162493145,-0.09021285830069706,-0.09021285830069706,0.09021285803346622,0.09021285803346622
2026-04-22T11:55:31.146858,3,update,378,-5.458148121833801,-5.458148121833801,-3.6714953184127808,-5.636953711509705,0.044808755848694926,0.5593591808479771,5.598991132787725,aspgd,mode_group,-0.1025763415383342,-0.12979292590125793,-0.0977142486391396,-0.07049766427621589,-0.1025763415383342,-0.1025763415383342,0.10257634122476958,0.10257634122476958
2026-04-22T11:55:43.591476,4,update,381,-5.5540454387664795,-5.5540454387664795,-7.278589606285095,-3.791097104549408,0.0427008084519461,0.5433403500562636,10.227700923335483,aspgd,mode_group,-0.09360081723128363,-0.16932651060427925,-0.12984154872524717,-0.08661362098449155,-0.09360081723128363,-0.09360081723128363,0.12609858247322692,0.12609858247322692
2026-04-22T11:55:56.037683,5,update,384,-5.63110888004303,-5.63110888004303,-4.038276672363281,-5.647798776626587,0.04083766650268662,0.5312317786191461,4.827803599289025,aspgd,mode_group,-0.09325029318165029,-0.20648607423462975,-0.16127413878233188,-0.0924855460845408,-0.08007053783588196,-0.09325029318165029,0.1376974811060653,0.1376974811060653
2026-04-22T11:56:08.455207,6,update,387,-6.000815033912659,-6.000815033912659,-5.6376248598098755,-4.795401394367218,0.03917626761548003,0.52153894128703,2.5732222138221617,aspgd,mode_group,-0.09615703254535563,-0.2400874567104173,-0.1838019686850163,-0.1004841385401947,-0.06580508581095111,-0.0897698835723572,0.1439953281649919,0.15038247711381875
2026-04-22T11:56:20.944604,7,update,390,-6.2086522579193115,-6.2086522579193115,-5.044155716896057,-5.381081700325012,0.03768337273895953,0.513481871363344,1.0455530783755118,aspgd,mode_group,-0.09981069549794566,-0.26953093446673,-0.20151857638836515,-0.10841600560057009,-0.05503057528487043,-0.08563421959639345,0.14807541140453792,0.15982907945125052
2026-04-22T11:56:33.549539,8,update,393,-6.078283786773682,-6.2086522579193115,-4.822852909564972,-5.588170886039734,0.0363328733513459,0.5066031999283181,2.4071917236583786,aspgd,mode_group,-0.10550062839578178,-0.2969521381272828,-0.21383587391971817,-0.11771088147888199,-0.048562896859682125,-0.07953813819277865,0.154124658801968,0.16517782265438816
2026-04-22T11:56:46.193911,9,update,396,-5.792335271835327,-6.2086522579193115,-7.720569968223572,-4.18577641248703,0.03510394678945771,0.5006123091182717,11.251209886454028,aspgd,mode_group,-0.1191110033415454,-0.3259264257353379,-0.23213176645542433,-0.1338699352253163,-0.05357789417711591,-0.06564061804327437,0.14881383263055672,0.17854697795528854
2026-04-22T11:56:58.533737,10,update,399,-6.086563467979431,-6.2086522579193115,-5.7084739208221436,-5.524263978004456,0.03397976162590502,0.49531333155029483,0.5926110511737163,aspgd,mode_group,-0.13137633615636793,-0.3514891414743054,-0.24748113477220907,-0.14736988118122984,-0.057432719848767376,-0.054098017126688325,0.14373171418442843,0.1896322819659335
2026-04-22T11:57:11.079712,11,update,402,-6.539991497993469,-6.539991497993469,-5.7444387674331665,-6.375851035118103,0.032946549555188345,0.4905681588166419,2.050927720353442,aspgd,mode_group,-0.14361824792080408,-0.3752493634234268,-0.2591593203010293,-0.16068122572039295,-0.06238937626347198,-0.04571728704203823,0.13771196596860205,0.20085204238040824
2026-04-22T11:57:23.749457,12,update,405,-6.685135364532471,-6.685135364532471,-6.636601090431213,-5.729893445968628,0.03199292738134982,0.4862758610065994,2.971127311015989,aspgd,mode_group,-0.15195761756654277,-0.3980605155544308,-0.26701093090119615,-0.17445158082833465,-0.06893091275667605,-0.03621310166059223,0.13475626725574746,0.21281267316073843
2026-04-22T11:57:36.117004,13,update,408,-6.775097846984863,-6.775097846984863,-6.57595694065094,-5.895900130271912,0.03110939332099471,0.4823605023287088,2.2465192849367646,aspgd,mode_group,-0.16089009664319623,-0.4163221550815037,-0.27551760082349946,-0.18812526019218617,-0.07629390004984869,-0.029568321543993113,0.13382825567992446,0.22490647984569517
